file||src||doc_id||subdoc_id||texttype||balanced||src_file_or_url||words||chars||sentences
estonian_nc17.vert.01||NC||277||30501||periodicals||_||aja_EPL_2002_10_25.ma||171||1020||8
estonian_nc17.vert.01||NC||277||30502||periodicals||_||aja_EPL_2002_10_25.ma||136||1041||5
estonian_nc17.vert.01||NC||277||30503||periodicals||_||aja_EPL_2002_10_25.ma||236||1630||8
estonian_nc17.vert.01||NC||277||30504||periodicals||_||aja_EPL_2002_10_25.ma||271||1974||18
estonian_nc17.vert.01||NC||277||30505||periodicals||_||aja_EPL_2002_10_25.ma||292||1889||14
estonian_nc17.vert.01||NC||277||30506||periodicals||_||aja_EPL_2002_10_25.ma||122||786||8
estonian_nc17.vert.01||NC||277||30507||periodicals||_||aja_EPL_2002_10_25.ma||196||1237||16
estonian_nc17.vert.01||NC||277||30508||periodicals||_||aja_EPL_2002_10_25.ma||193||1194||14
estonian_nc17.vert.01||NC||277||30509||periodicals||_||aja_EPL_2002_10_25.ma||574||3794||36
estonian_nc17.vert.01||NC||277||30510||periodicals||_||aja_EPL_2002_10_25.ma||524||3454||30
estonian_nc17.vert.01||NC||277||30511||periodicals||_||aja_EPL_2002_10_25.ma||272||1857||16
estonian_nc17.vert.01||NC||277||30512||periodicals||_||aja_EPL_2002_10_25.ma||83||635||4
estonian_nc17.vert.01||NC||277||30513||periodicals||_||aja_EPL_2002_10_25.ma||9||55||1
estonian_nc17.vert.01||NC||277||30514||periodicals||_||aja_EPL_2002_10_25.ma||317||2151||22
estonian_nc17.vert.01||NC||277||30515||periodicals||_||aja_EPL_2002_10_25.ma||153||1180||9
estonian_nc17.vert.01||NC||277||30516||periodicals||_||aja_EPL_2002_10_25.ma||205||1232||10
estonian_nc17.vert.01||NC||277||30517||periodicals||_||aja_EPL_2002_10_25.ma||349||2371||18
estonian_nc17.vert.01||NC||277||30518||periodicals||_||aja_EPL_2002_10_25.ma||188||1241||14
estonian_nc17.vert.01||NC||277||30519||periodicals||_||aja_EPL_2002_10_25.ma||627||3966||31
estonian_nc17.vert.01||NC||277||30520||periodicals||_||aja_EPL_2002_10_25.ma||275||1827||14
estonian_nc17.vert.01||NC||277||30521||periodicals||_||aja_EPL_2002_10_25.ma||375||2372||25
estonian_nc17.vert.01||NC||277||30522||periodicals||_||aja_EPL_2002_10_25.ma||103||665||4
estonian_nc17.vert.01||NC||277||30523||periodicals||_||aja_EPL_2002_10_25.ma||368||2650||18
estonian_nc17.vert.01||NC||277||30524||periodicals||_||aja_EPL_2002_10_25.ma||405||3133||26
estonian_nc17.vert.01||NC||277||30525||periodicals||_||aja_EPL_2002_10_25.ma||82||543||7
